Created,Deserialized,Processing,Processed,Finished
1714997374.192723,1714997367.3199134,1714997367.3204808,1714997367.3204818,1714997374.206365
1714997374.197967,1714997367.320592,1714997367.3211658,1714997367.3211668,1714997374.2063699
1714997374.2035334,1714997367.3234577,1714997367.3240235,1714997367.324025,1714997374.2105608
1714997374.208378,1714997367.328113,1714997367.3289483,1714997367.32895,1714997374.214781
1714997374.212682,1714997367.3322556,1714997367.333233,1714997367.3332353,1714997374.2197082
1714997374.2169607,1714997367.337258,1714997367.338461,1714997367.3384633,1714997374.2245996
1714997374.2218916,1714997367.3422945,1714997367.3436632,1714997367.3436658,1714997374.2290735
1714997374.2268589,1714997367.3465338,1714997367.3479633,1714997367.3479664,1714997374.2348404
1714997374.2312791,1714997367.3508015,1714997367.352268,1714997367.3522708,1714997374.238114
1714997374.236082,1714997367.3556945,1714997367.3572743,1714997367.357277,1714997374.2423227
1714997374.2402785,1714997367.359907,1714997367.3614447,1714997367.3614473,1714997374.2464874
1714997374.244473,1714997367.3640382,1714997367.3656015,1714997367.3656046,1714997374.250591
1714997374.2486033,1714997367.3681424,1714997367.36967,1714997367.3696728,1714997374.2549233
1714997374.2527413,1714997367.3757806,1714997367.3777847,1714997367.377788,1714997374.2631853
1714997374.2571685,1714997367.3781984,1714997367.379838,1714997367.3798409,1714997374.2645936
1714997374.2611942,1714997367.3806021,1714997367.381959,1714997367.381961,1714997374.2678351
1714997374.2658145,1714997367.3854408,1714997367.3869333,1714997367.386936,1714997374.272046
1714997374.270029,1714997367.389663,1714997367.3911738,1714997367.3911767,1714997374.2762392
1714997374.2741973,1714997367.3938122,1714997367.3953626,1714997367.3953655,1714997374.2817957
1714997374.2783551,1714997367.397872,1714997367.3994048,1714997367.3994076,1714997374.2850363
1714997374.283005,1714997367.4026635,1714997367.4042401,1714997367.404243,1714997374.2891579
1714997374.2871456,1714997367.4067929,1714997367.408356,1714997367.4083586,1714997374.2933617
1714997374.2912676,1714997367.4109194,1714997367.4124928,1714997367.4124956,1714997374.2974906
1714997374.2954988,1714997367.4150856,1714997367.4166703,1714997367.416673,1714997374.3016648
1714997374.299601,1714997367.4192398,1714997367.4207826,1714997367.4207854,1714997374.3058972
1714997374.303884,1714997367.423503,1714997367.4250872,1714997367.4250898,1714997374.3100126
1714997374.3080106,1714997367.4275932,1714997367.4291291,1714997367.429132,1714997374.3141553
1714997374.3121293,1714997367.4317176,1714997367.4332595,1714997367.4332626,1714997374.3184154
1714997374.316383,1714997367.4360614,1714997367.4376442,1714997367.4376473,1714997374.3225758
1714997374.320532,1714997367.4401402,1714997367.4416573,1714997367.4416604,1714997374.326729
1714997374.324735,1714997367.4442677,1714997367.4457698,1714997367.4457726,1714997374.3308883
1714997374.3288424,1714997367.448427,1714997367.4499705,1714997367.449973,1714997374.3350897
1714997374.3330054,1714997367.4524791,1714997367.45398,1714997367.4539824,1714997374.3391898
1714997374.3371994,1714997367.4566987,1714997367.458238,1714997367.458241,1714997374.3433733
1714997374.3413045,1714997367.4610004,1714997367.4625976,1714997367.4626007,1714997374.347508
1714997374.3454885,1714997367.4650745,1714997367.4666352,1714997367.4666383,1714997374.3517132
1714997374.3496854,1714997367.4692705,1714997367.4708314,1714997367.4708343,1714997374.355897
1714997374.3538837,1714997367.473446,1714997367.4749818,1714997367.474985,1714997374.3600888
1714997374.3580601,1714997367.4776568,1714997367.4792292,1714997367.4792354,1714997374.3642719
1714997374.362213,1714997367.4817653,1714997367.4832935,1714997367.4832962,1714997374.3696299
1714997374.3664217,1714997367.4867837,1714997367.4884446,1714997367.488448,1714997374.373071
1714997374.3707507,1714997367.4904332,1714997367.4920049,1714997367.4920077,1714997374.37735
1714997374.3753252,1714997367.494946,1714997367.4965374,1714997367.49654,1714997374.381572
1714997374.379555,1714997367.499133,1714997367.5007193,1714997367.5007224,1714997374.3858206
1714997374.3837996,1714997367.503416,1714997367.5049856,1714997367.5049887,1714997374.3900352
1714997374.3880134,1714997367.5084703,1714997367.5101337,1714997367.5101368,1714997374.3958282
1714997374.3922036,1714997367.511725,1714997367.513214,1714997367.513217,1714997374.3990862
1714997374.3970306,1714997367.517638,1714997367.519414,1714997367.519417,1714997374.404024
1714997374.4013958,1714997367.5215154,1714997367.5231526,1714997367.5231557,1714997374.4083717
1714997374.4062777,1714997367.525986,1714997367.5276587,1714997367.5276618,1714997374.4125218
1714997374.410491,1714997367.5300946,1714997367.531704,1714997367.531707,1714997374.4166417
1714997374.4146292,1714997367.5342197,1714997367.53577,1714997367.5357726,1714997374.4209208
